_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Year,Causative Agent - 1,Causative Agent - 2
359,Fairfield Residence - 2nd Fl,10 Fairfield Ave,Retirement Home,Respiratory,COVID-19,,2023-10-18,2023-10-27,N,2023,,
360,Parkland on Eglinton West - 2nd Fl,4650 Eglinton Ave West,LTCH,Respiratory,COVID-19,,2023-10-18,2023-10-25,N,2023,,
361,Unity Health Toronto - Providence - B4,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-18,2023-10-30,N,2023,,
362,Belmont House - 2E,55 Belmont St,LTCH,Respiratory,Rhinovirus,,2023-10-17,2023-10-28,N,2023,,
363,Centennial Park Place - 1st Fl,25 Centennial Park Rd,Retirement Home,Respiratory,COVID-19,,2023-10-17,2023-10-26,N,2023,,
364,The Dunfield Retirement Residence - 14th & 15th Fl,77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,,2023-10-17,2023-10-30,N,2023,,
365,Unity Health Toronto - Houses of Providence - HOP 1W - Balsam & Maple,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-10-17,2023-10-30,N,2023,,
366,Chartwell Scarlett Heights Retirement Residence - 2nd Fl (Memory Fl Lane),4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,,2023-10-16,2023-10-26,N,2023,,
367,Donway Place - 2nd Fl,8 The Donway E,Retirement Home,Respiratory,Rhinovirus,,2023-10-16,2023-10-20,N,2023,,
368,"Forest Hill Place - 3rd, 4th, 5th, 6th & 7th Fl",645 Castlefield Ave,Retirement Home,Enteric,Unable to identify,,2023-10-16,2023-10-25,N,2023,,
369,Fountain View Care Community - 2nd Fl - Breezeway,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,,2023-10-16,2023-10-20,N,2023,,
370,Fudger House,439 Sherbourne St,LTCH,Respiratory,Rhinovirus,,2023-10-16,2023-11-10,N,2023,,
371,Maynard Nursing Home,28 Halton St,LTCH,Respiratory,COVID-19,,2023-10-16,2023-11-06,N,2023,,
372,Scarborough Health Network - Centenary - 3MBW,2867 Ellesmere Rd,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-16,2023-10-25,N,2023,,
373,Runnymede Healthcare Centre - 4E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-15,2023-10-24,N,2023,,
374,Labdara Lithuanian Nursing Home - 1st Fl,5 Resurrection Rd,LTCH,Respiratory,COVID-19,,2023-10-14,2023-11-02,N,2023,,
375,The Annex - 5th Fl,123 Spadina Rd,Retirement Home,Respiratory,COVID-19,,2023-10-14,2023-10-24,N,2023,,
376,Extendicare Bayview - West Unit,550 Cummer Ave,LTCH,Respiratory,COVID-19,,2023-10-13,2023-10-26,N,2023,,
377,Runnymede Healthcare Centre - 2W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-13,2023-10-20,N,2023,,
378,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,COVID-19,,2023-10-12,2023-10-28,N,2023,,
379,Wesburn Manor - 3N & 3S,400 The West Mall,LTCH,Respiratory,Rhinovirus,,2023-10-12,2023-10-23,N,2023,,
380,Runnymede Healthcare Centre - 3W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-11,2023-10-25,N,2023,,
381,Unity Health Toronto - Providence - B3,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-11,2023-10-25,N,2023,,
382,Downsview Long Term Care Centre - 2nd Fl - 2 Centre,3595 Keele St,LTCH,Respiratory,COVID-19,,2023-10-10,2023-10-16,N,2023,,
383,Hellenic Home - 3B,2411 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-10-10,2023-10-23,N,2023,,
384,Rockcliffe Care Community - 1st Fl,3015 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2023-10-10,2023-10-18,N,2023,,
385,"Seniors' Health Centre - 1st ,2nd & 3rd Fl",2 Buchan Crt,LTCH,Respiratory,COVID-19,,2023-10-10,2023-11-03,N,2023,,
386,Unity Health Toronto - Houses of Providence - 3E - Cedar & Aspen,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-10-10,2023-10-25,N,2023,,
387,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-10,2023-10-22,N,2023,,
388,Unity Health Toronto - Providence - A3,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-09,2023-10-16,N,2023,,
389,William Osler Health System - 9W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-09,2023-10-16,N,2023,,
390,Hellenic Home for the Aged - 2B,2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2023-10-08,2023-10-24,N,2023,,
391,Shepherd Terrace Retirement Residence,3758 Sheppard Ave E,Retirement Home,Respiratory,COVID-19,,2023-10-08,2023-10-24,N,2023,,
392,Unity Health Toronto - Houses of Providence - HOP 2W Elm,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-10-08,2023-10-25,N,2023,,
393,Valleyview Residence,541 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-10-08,2023-11-07,N,2023,,
394,Eatonville Care Centre - Unit 2,420 The East Mall,LTCH,Respiratory,Rhinovirus,,2023-10-07,2023-10-13,N,2023,,
395,"Villa Colombo Homes for the Aged - 3 Fusco West, 3 Fusco South Wing, 3 Fusco North Wing & 3 Fidani",40 Playfair Ave,LTCH,Respiratory,COVID-19,,2023-10-07,2023-10-28,N,2023,,
396,Chartwell Grenadier - 2nd Fl - AL & 4th Fl,2100 Bloor St W,Retirement Home,Respiratory,Rhinovirus,Respiratory syncytial virus,2023-10-06,2023-10-23,N,2023,,
397,Deerwood Creek Care Community - 2B Unit,70 Humberline Dr,LTCH,Respiratory,COVID-19,,2023-10-06,2023-10-14,N,2023,,
398,Fieldstone Commons Care Community - 1A,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,,2023-10-06,2023-10-18,N,2023,,
399,North York General Hospital - Seniors Health Centre - 4th Fl,2 Buchan Crt,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-10-06,2023-10-25,N,2023,,
400,Unity Health Toronto - Houses of Providence - 3W (Poplar & Walnut),3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-10-06,2023-10-20,N,2023,,
401,University Health Network - Toronto Western - 5B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-06,2023-10-15,N,2023,,
402,William Osler Health System - 8W Surgical Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-06,2023-10-12,N,2023,,
403,Shepperd Lodge - 2nd & 6th Fl,3760 Sheppard Ave E,LTCH,Enteric,Norovirus,,2023-10-05,2023-10-17,N,2023,,
404,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,COVID-19,,2023-10-04,2023-10-16,N,2023,,
405,Extendicare Scarborough - 2E,3830 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,,2023-10-04,2023-10-16,N,2023,,
406,Norfinch Care Community - Unit 3B,22 Norfinch Dr,LTCH,Respiratory,Rhinovirus,,2023-10-04,2023-10-12,N,2023,,
407,Ukrainian Canadian Care Centre - 2nd & 3rd Fl,60 Richview Rd,LTCH,Respiratory,COVID-19,,2023-10-04,2023-11-02,N,2023,,
408,West Park Healthcare Centre - 3WE,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-04,2023-10-11,N,2023,,
409,Centre for Addiction and Mental Health - Unit 1-4,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2023-10-03,2023-10-11,N,2023,,
410,"Chartwell Scarlett Heights Retirement Residence - 5th, 6th & 8th Fl",4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,,2023-10-03,2023-10-17,N,2023,,
411,Copernicus Lodge - 1st Fl (1N & 1S),66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,,2023-10-03,2023-10-19,N,2023,,
412,Ivan Franko Home - 2nd Fl,767 Royal York Rd,LTCH,Respiratory,Unable to identify,,2023-10-03,2023-10-13,N,2023,,
413,Kennedy Lodge - Ground Fl,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,,2023-10-03,2023-10-19,N,2023,,
414,Unity Health Toronto - Providence - A4,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-03,2023-10-12,N,2023,,
415,Cedarbrook Lodge - Transitional Care Unit - 6th Fl South,520 Markham Rd,Transitional Care,Respiratory,COVID-19,,2023-10-02,2023-10-10,N,2023,,
416,Kensington Gardens - The Kensington Health Centre,45 Brunswick Ave,LTCH,Respiratory,Unable to identify,,2023-10-02,2023-10-10,N,2023,,
417,Kipling Acres - 2 North Highfield Unit,2233 Kipling Ave,LTCH,Respiratory,Rhinovirus,,2023-10-02,2023-10-10,N,2023,,
418,Lakeside Long Term Care Centre - 2nd Fl,150 Dunn Ave,LTCH,Respiratory,COVID-19,,2023-10-02,2023-10-16,N,2023,,
419,Norwood Nursing Home,122 Tyndale St,LTCH,Respiratory,Rhinovirus,,2023-10-02,2023-10-15,N,2023,,
420,The Briton House - 9th Fl,700 & 720 Mount Pleasant Rd,Retirement Home,Respiratory,COVID-19,,2023-10-02,2023-10-16,N,2023,,
421,The Wexford - 5th & 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-10-02,2023-10-27,N,2023,,
422,Kipling Acres - 2 North,2233 Kipling Ave,LTCH,Respiratory,COVID-19,,2023-10-01,2023-10-19,N,2023,,
423,Ivan Franko Home,767 Royal York Rd,LTCH,Respiratory,COVID-19,,2023-09-30,2023-10-18,N,2023,,
424,"Advent Forestview Retirement Residence - 2nd, 3rd-5th Fl",537 Finch Ave W,Retirement Home,Respiratory,COVID-19,,2023-09-29,2023-10-21,N,2023,,
425,Cedarbrook Lodge Retirement Residence - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,Rhinovirus,,2023-09-29,2023-10-13,N,2023,,
426,Cedarbrook Lodge Retirement Residence - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,,2023-09-29,2023-10-13,N,2023,,
427,MacKenzie Health - RCC - 4 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-29,2023-10-10,N,2023,,
428,The Salvation Army - Toronto Grace Health Centre - Specialized Care Centre - 5th Fl,1020 McNicoll Ave,Transitional Care,Respiratory,COVID-19,,2023-09-29,2023-10-14,N,2023,,
429,Weston Terrace Care Community - 2B & 3B Unit,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2023-09-29,2023-10-24,N,2023,,
430,Westside - 3rd Fl,1145 Albion Rd,LTCH,Respiratory,COVID-19,,2023-09-29,2023-10-16,N,2023,,
431,William Osler Health System - 10E Medicine Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-29,2023-10-05,N,2023,,
432,William Osler Health System - 10W Respirology Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-29,2023-10-05,N,2023,,
433,Humber Meadows Long Term Care Home - Birch Lane North,2109 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-09-28,2023-10-07,N,2023,,
434,Seven Oaks - 1st Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,,2023-09-27,2023-10-13,N,2023,,
435,Extendicare Guildwood,60 Guildowood Pky,LTCH,Respiratory,Rhinovirus,,2023-09-26,2023-10-16,N,2023,,
436,Unity Health Toronto - Houses of Providence - HOP 4W - Oak & Willow,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-09-26,2023-10-13,N,2023,,
437,Valleyview Residence - Unit 2E,541 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-09-26,2023-10-04,N,2023,,
438,"Villa Colombo - 2 Fusco North, South & West",40 Playfair Ave,LTCH,Respiratory,Parainfluenza,,2023-09-26,2023-10-15,N,2023,,
439,Villa Colombo Homes for the Aged - 2 Fusco South,40 Playfair Ave,LTCH,Respiratory,COVID-19,,2023-09-26,2023-10-06,N,2023,,
440,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-26,2023-10-01,N,2023,,
441,Baycrest Hospital - 4 West,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-25,2023-10-01,N,2023,,
442,Lakeside Long Term Care Centre - 2nd Fl,150 Dunn Ave,LTCH,Respiratory,Unable to identify,,2023-09-25,2023-10-12,N,2023,,
443,McCowan Retirement Residence - 2nd & 3rd Fl,2881 Eglinton Ave E,Retirement Home,Respiratory,COVID-19,,2023-09-25,2023-10-16,N,2023,,
444,Sunnybrook Health Sciences Centre - St. John's Rehab - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-24,2023-10-08,N,2023,,
445,West Park Healthcare Centre - 2EA,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,,2023-09-24,2023-10-02,N,2023,,
446,The Village of Humber Heights,2245 Lawrence Ave West,Retirement Home,Respiratory,COVID-19,,2023-09-23,2023-11-08,N,2023,,
447,Seven Oaks - 1st & 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Parainfluenza,Rhinovirus,2023-09-22,2023-10-10,N,2023,,
448,Tendercare Living Centre - 2 West & 2 East,1020 McNicoll Ave,LTCH,Respiratory,COVID-19,,2023-09-22,2023-10-04,N,2023,,
449,University Health Network - Bickle Centre - South 5,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-22,2023-10-12,N,2023,,
450,Kingsway,4251 Dundas St W,Retirement Home,Respiratory,COVID-19,,2023-09-21,2023-10-05,N,2023,,
451,Baycrest Hospital - H7W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-20,2023-10-01,N,2023,,
452,Ukrainian Canadian Care Centre - 4th Fl,60 Richview Rd,LTCH,Respiratory,COVID-19,,2023-09-20,2023-10-04,N,2023,,
453,Baycrest Apotex Centre - Jewish Home For The Aged - 4GS,3560 Bathurst St,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-09-19,2023-09-30,N,2023,,
454,Humber Valley Terrace - 3 Fl,95 Humber College Blvd,LTCH,Respiratory,COVID-19,,2023-09-19,2023-09-29,N,2023,,
455,Kensington Gardens - The Kensington Health Centre - S-2E & S-2W,25 Brunswick Ave,LTCH,Respiratory,Rhinovirus,,2023-09-19,2023-10-30,N,2023,,
456,L'Chaim Retirement Homes,718 Sheppard Ave,Retirement Home,Respiratory,COVID-19,,2023-09-19,2023-10-06,N,2023,,
457,The O'Neill Centre - 2nd Fl,33 Christie St,LTCH,Respiratory,COVID-19,,2023-09-19,2023-09-26,N,2023,,
458,The Russell Hill Retirement Residence - 2nd Fl,262 St Clair Ave W,Retirement Home,Respiratory,Unable to identify,,2023-09-19,2023-09-23,N,2023,,
459,William Osler Health System - 9W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-19,2023-09-25,N,2023,,
460,Bayshore - 6th Fl,221 Milner Ave,LTCH,Respiratory,COVID-19,,2023-09-18,2023-09-28,N,2023,,
461,Hazelton Place Retirement Residence,111 Ave Rd,Retirement Home,Respiratory,COVID-19,,2023-09-18,2023-10-10,N,2023,,
462,Parkland On Eglinton West - 2nd Fl,4650 Eglinton Ave W,Retirement Home,Respiratory,Unable to identify,,2023-09-18,2023-09-25,N,2023,,
463,Tapestry At Village Gate West - 3rd Fl,15 Summerland Terr,Retirement Home,Respiratory,Rhinovirus,,2023-09-18,2023-09-23,N,2023,,
464,University Health Network - Toronto Western - 5B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-18,2023-09-27,N,2023,,
465,West Park Healthcare Centre - 3WD,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,,2023-09-18,2023-09-27,N,2023,,
466,Yee Hong Centre - Scarborough Finch - 5th & 6th Fl,60 Scottfield Dr,LTCH,Respiratory,COVID-19,,2023-09-18,2023-10-11,N,2023,,
467,The Dunfield Retirement Residence - Ground Fl (Dining Rm),77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,,2023-09-17,2023-09-26,N,2023,,
468,The Village of Humber Heights - Weston Unit,2245 Lawrence Ave W,LTCH,Respiratory,Unable to identify,,2023-09-17,2023-09-26,N,2023,,
469,Chartwell White Eagle Long Term Care Residence - 4th Fl,138 Dowling Ave,LTCH,Respiratory,Coronavirus*,Rhinovirus,2023-09-16,2023-10-02,N,2023,,
470,William Osler Health System - 9E,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-16,2023-09-25,N,2023,,
471,Castleview Wychwood Towers - 5th & 6th Fl,351 Christie St,LTCH,Respiratory,COVID-19,,2023-09-15,2023-10-03,N,2023,,
472,Ina Grafton Gage Home,40 Bell Estate Rd,LTCH,Respiratory,COVID-19,,2023-09-15,2023-10-17,N,2023,,
473,Kennedy Lodge - Scarborough - 3 North,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,,2023-09-15,2023-09-22,N,2023,,
474,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,,2023-09-15,2023-09-29,N,2023,,
475,Valleyview Residence - 2E,541 Finch Ave W,LTCH,Respiratory,Rhinovirus,,2023-09-15,2023-09-18,N,2023,,
476,Baycrest Apotex Centre - Jewish Home For The Aged - 3EI,3560 Bathurst St,LTCH,Respiratory,Rhinovirus,,2023-09-14,2023-09-18,N,2023,,
477,Copernicus Lodge - 4 North,66 Roncesvalles Ave,LTCH,Respiratory,Rhinovirus,,2023-09-14,2023-09-25,N,2023,,
478,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,COVID-19,,2023-09-14,2023-10-10,N,2023,,
479,Carefirst Transitional Care Centre - 3rd Fl,300 Silver Star Blvd,Transitional Care,Respiratory,COVID-19,,2023-09-13,2023-09-26,N,2023,,
480,Fairview Nursing Home,14 Cross St,LTCH,Respiratory,COVID-19,,2023-09-13,2023-10-10,N,2023,,
481,One Kenton Place,1-3 Kenton Dr,LTCH,Respiratory,COVID-19,,2023-09-13,2023-09-25,N,2023,,
482,Villa Colombo Homes for the Aged - 4th Fl North & South (Fusco Building),40 Playfair Ave,LTCH,Respiratory,COVID-19,,2023-09-13,2023-09-26,N,2023,,
483,William Osler Health System - 6W Medicine Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-13,2023-09-18,N,2023,,
484,Belmont House - 2E & 4WW,55 Belmont St,LTCH,Respiratory,COVID-19,,2023-09-12,2023-10-06,N,2023,,
485,Chartwell Gibson Long Term Care Residence - 1st Fl,1925 Steeles Ave E,LTCH,Respiratory,COVID-19,,2023-09-12,2023-09-22,N,2023,,
486,Tapestry at Village Gate West,15 Summerland Terr,Retirement Home,Respiratory,COVID-19,,2023-09-12,2023-10-04,N,2023,,
487,Wesburn Manor - Unit 2S & 2N,400 The West Mall,LTCH,Respiratory,Rhinovirus,,2023-09-12,2023-10-04,N,2023,,
488,Altamont Care Community - Wing 4,92 Island Rd,LTCH,Respiratory,COVID-19,,2023-09-11,2023-09-25,N,2023,,
489,"Chartwell Grenadier Retirement Residence - Units B4, B3 & C5",2100 Bloor St W,Retirement Home,Respiratory,COVID-19,,2023-09-11,2023-09-28,N,2023,,
490,Extendicare Bayview - 1st Fl South & East Wing,550 Cummer Ave,LTCH,Respiratory,COVID-19,,2023-09-11,2023-10-02,N,2023,,
491,Main Street Terrace - 2nd & 3rd Fl,77 Main St,LTCH,Respiratory,Rhinovirus,,2023-09-11,2023-10-05,N,2023,,
492,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,,2023-09-11,2023-09-23,N,2023,,
493,Yee Hong Centre - McNicoll Site - Ground & 5th Fl,2311 McNicoll Ave,LTCH,Respiratory,Rhinovirus,Respiratory syncytial virus,2023-09-11,2023-10-10,N,2023,,
494,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,,2023-09-09,2023-09-29,N,2023,,
495,Eatonville Care Centre - Unit 5,420 The East Mall,LTCH,Respiratory,Rhinovirus,,2023-09-08,2023-09-21,N,2023,,
496,The Heritage Nursing Home - 3rd & 4th Fl,1195 Queen St E,LTCH,Respiratory,COVID-19,,2023-09-08,2023-10-03,N,2023,,
497,Centre for Addiction and Mental Health - Queen Street Site - PRT 5,1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,,2023-09-07,2023-09-17,N,2023,,
498,Sunnybrook Veterans Centre - LSSW Veterans,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,,2023-09-07,2023-09-22,N,2023,,
499,Baycrest Apotex Centre - Jewish Home for the Aged - 2RF,3560 Bathurst St,LTCH,Respiratory,Rhinovirus,,2023-09-06,2023-09-15,N,2023,,
500,Harold and Grace Baker Centre - A Wing,1 Northwestern Ave,LTCH,Respiratory,Rhinovirus,,2023-09-06,2023-09-22,N,2023,,
501,Belmont House,52 McMurrich St,Retirement Home,Respiratory,COVID-19,,2023-09-05,2023-09-15,N,2023,,
502,Belmont House - 4WW,55 Belmont St,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-09-05,2023-10-02,N,2023,,
503,Carefree Lodge - 2nd Fl,306 Finch Ave E,LTCH,Respiratory,COVID-19,,2023-09-05,2023-09-19,N,2023,,
504,Centre For Addiction And Mental Health - Unit 1 & 2,1001 Queen Ave W,Hospital-Psychiatric,Respiratory,Unable to identify,,2023-09-05,2023-09-19,N,2023,,
505,"Presentation Manor - 1st, 3rd & 4th Fl",61 Fairfax Cres,Retirement Home,Respiratory,COVID-19,,2023-09-05,2023-09-22,N,2023,,
506,Trillium Health Partners - McCall Continuing Care - 3rd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,,2023-09-05,2023-09-26,N,2023,,
507,Westside - 4 Fl,1145 Albion Rd,LTCH,Respiratory,Unable to identify,,2023-09-05,2023-09-14,N,2023,,
508,Bendale Acres - 4 Fl,2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2023-09-04,2023-09-22,N,2023,,
509,Midland Gardens Care Community - 2nd & 5th Fl,130 Midland Ave,LTCH,Respiratory,COVID-19,,2023-09-03,2023-10-04,N,2023,,
510,Isabel and Arthur Meighen Manor - 2nd & 3rd Fl,155 Millwood Rd,LTCH,Respiratory,Rhinovirus,,2023-09-01,2023-09-21,N,2023,,
511,North York General Hospital - General Site - 7N,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,,2023-09-01,2023-09-11,N,2023,,
512,Rockcliffe Care Community - 2nd & 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-09-01,2023-10-02,N,2023,,
513,Tony Stacey Centre for Veterans' Care - 2nd Fl,59 Lawson Rd,LTCH,Respiratory,COVID-19,,2023-09-01,2023-09-15,N,2023,,
514,"Valleyview Residence - 2E, 3W, 4W, & 4E",541 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-09-01,2023-09-27,N,2023,,
515,Chester Village - 2W,3555 Danforth Ave,LTCH,Respiratory,Rhinovirus,,2023-08-31,2023-09-11,N,2023,,
516,Humber Meadows Long Term Care Home,2109 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-08-31,2023-09-13,N,2023,,
517,Leaside - 2nd & 4th Fl,14 William Morgan Dr,Retirement Home,Respiratory,Rhinovirus,,2023-08-31,2023-09-09,N,2023,,
518,The O'Neill Centre - 5th Fl,33 Christie St,LTCH,Respiratory,Rhinovirus,,2023-08-31,2023-09-13,N,2023,,
519,Castleview Wychwood Towers - 7C,351 Christie St,LTCH,Respiratory,COVID-19,,2023-08-30,2023-09-12,N,2023,,
520,Hazelton Place Retirement Residence,111 Ave Rd,Retirement Home,Respiratory,COVID-19,,2023-08-30,2023-09-12,N,2023,,
521,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2023-08-29,2023-09-06,N,2023,,
522,Chartwell Lansing Retirement Residence - 2nd & 3rd Fl,10 Senlac Rd,Retirement Home,Respiratory,Rhinovirus,,2023-08-28,2023-09-21,N,2023,,
523,Chartwell Lansing Retirement Residence - 2nd & 3rd Fl,10 Senlac Rd,Retirement Home,Respiratory,COVID-19,,2023-08-28,2023-09-15,N,2023,,
